ID           Arch  What
C05MF0NA563  -     Group: @thor.mathison @andrew.khang @luisa.blandon
C05N9Q6B5NW  arch  🔒 board-ppt (archived)
C05NG5G026P  -     Group: @andrew.khang @marco.hinz @stefan.kleff
C05NS63NTJ9  -     Group: @andrew.khang @luisa.blandon @rafael.weninger
C05NYGG4E5A  -     Group: @luisa.blandon @andrew.khang @joao.reginatto
C05P531JC8K  arch  #project_token_management (archived)
C05P5LL6CQ3  arch  #portfolio_opt (archived)
C05P864PV7V  -     Group: @andrew.khang @marco.hinz @jochen.weiss
C05PSM6B0Q5  -     Group: @vitalii.ivantsov @luca @andrew.khang
C05Q78SD679  -     Group: @antonina.norair @greg @luca @andrew.khang
C05QP4P1VNJ  -     Group: @luca @joao.reginatto @andrew.khang
C05R5JC3VN3  arch  🔒 berlin-sept-onsite (archived)
C05R77XK8JX  -     Group: @antonina.norair @antonello.simeon @vladimir.vecgailis @greg @andrew.khang
C05R7BZNURY  -     Group: @antonina.norair @andrew.khang @greg @vladimir.vecgailis
C05RKL223NF  -     Group: @andrew.khang @marco.hinz @oliver @luca @thor.mathison @claudine.oldengott @antje.bechler @rafael.weninger
C05RL1AFHQ9  -     Group: @antonina.norair @andrew.khang @greg @vladimir.vecgailis @antonello.simeon @thor.mathison
C05RN6PJAJY  -     Group: @andrew.khang @marco.hinz @oliver @luca @thor.mathison @claudine.oldengott
C05RNF7UJH2  -     Group: @andrew.khang @thor.mathison @luca @oliver @luisa.blandon @claudine.oldengott @antje.bechler @rafael.weninger @joao.reginatto
C05RVLFQ49W  -     Group: @antje.bechler @andrew.khang @claudine.oldengott @marta.amargant
C05RW5R1JBU  -     Group: @andrew.khang @antonello.simeon @antonina.norair @alessandro.rosmo
C05RW5R6P5Y  -     Group: @andrew.khang @antonello.simeon @antonina.norair @alessandro.rosmo @stefan.kleff
C05RYC95HG9  -     Group: @andrew.khang @marco.hinz @oliver @luca @thor.mathison @claudine.oldengott @antje.bechler
C05RYCAB2HX  -     Group: @andrew.khang @marco.hinz @oliver @luca @thor.mathison @claudine.oldengott @antje.bechler @rafael.weninger @joao.reginatto
C05S1T0SJUS  -     Group: @greg @andrew.khang @luisa.blandon @antonina.norair
C05SP18KA56  -     Group: @thor.mathison @marco.hinz @andrew.khang @oliver
C05SUAN0HJQ  arch  #pps-design (archived)
C05SUT09DB6  -     Group: @andrew.khang @oliver @luca
C05TM7JDXU0  -     Group: @andrew.khang @daniel.binsfeld @marco.hinz
C05TN7P050Q  -     Group: @andrew.khang @claudine.oldengott @marta.amargant
C05TS926SF9  -     Group: @andrew.khang @oliver @luca @thor.mathison
C05TZPFNAHZ  arch  🔒 cayman-holdco (archived)
C05UBFQ65GF  arch  🔒 go_to_market (archived)
C05UHV3CSRY  -     #one-mzero
C05UKCHEGVC  -     Group: @joao.reginatto @andrew.khang @rafael.weninger @daria.dmytruk
C05UP2959BJ  arch  🔒 vested-tokens-mechanics (archived)
C05UUF786CC  -     Group: @joao.reginatto @andrew.khang @rafael.weninger
C05UURW6NCF  -     Group: @claudine.oldengott @luca @oliver @marco.hinz @andrew.khang
C05UW2UK4S2  arch  🔒 friday (archived)
C05UYBNS0MR  -     Group: @andrew.khang @marco.hinz @claudine.oldengott
C05V9JQKGFR  arch  #project_minter_module (archived)
C05VBB8PQLW  -     Group: @vitalii.ivantsov @oliver @thor.mathison @marco.hinz @andrew.khang
C060C986M4L  arch  #data-integrations (archived)
C060FKGD84D  -     Group: @marta.amargant @vladimir.vecgailis @antonello.simeon @andrew.khang @alessandro.rosmo
C060GPW0T5Z  -     Group: @andrew.khang @luca @antje.bechler @joao.reginatto
C060JH6JB26  -     Group: @andrew.khang @vladimir.vecgailis @antonello.simeon
C060V96KCSV  -     #project-portfolio-optimisation
C060XTZL7V2  -     Group: @thor.mathison @andrew.khang @luca @oliver @vitalii.ivantsov @greg @marco.hinz @jochen.weiss
C060YAGA0HH  -     Group: @luca @vitalii.ivantsov @oliver @marco.hinz @andrew.khang
C061ND0RNQ7  -     Group: @vitalii.ivantsov @oliver @andrew.khang
C061RUCGXK8  arch  🔒 hiring-content-research (archived)
C062437646T  -     Group: @vitalii.ivantsov @luca @greg @andrew.khang
C062C03A1RU  -     Group: @vitalii.ivantsov @luca @greg @oliver @andrew.khang
C062DA48Z96  arch  🔒 web3-candidates (archived)
C062SA9H39N  -     Group: @andrew.khang @thor.mathison @antonello.simeon
C062SA9U5KJ  -     Group: @andrew.khang @thor.mathison @antonello.simeon @alessandro.rosmo
C06314UNE8P  -     Group: @joao.reginatto @andrew.khang @greg @antonina.norair @luca
C0631VBGP9T  -     Group: @claudine.oldengott @luca @andrew.khang
C063D3PGY1X  -     Group: @andrew.khang @rafael.weninger @marco.hinz
C063HB5FKDE  -     Group: @andrew.khang @stefan.kleff @joao.reginatto
C063P8V75MK  -     Group: @joao.reginatto @luca @andrew.khang @thor.mathison
C063Z3N07M0  arch  🔒 hiring-epm (archived)
C0640DF5A30  -     Group: @vitalii.ivantsov @andrew.khang @thor.mathison
C0647G6SGSK  -     Group: @claudine.oldengott @vladimir.vecgailis @stefan.kleff @andrew.khang
C064GKQHEFJ  arch  🔒 project_websites (archived)
C064JKR5RE2  -     Group: @andrew.khang @joao.reginatto @stefan.kleff @claudine.oldengott
C064JUU928K  -     Group: @luca @vladimir.vecgailis @andrew.khang
C064MFL7PBN  -     Group: @antonello.simeon @luca @vladimir.vecgailis @andrew.khang @marta.amargant
C064QG1KVNG  -     Group: @claudine.oldengott @vladimir.vecgailis @stefan.kleff @andrew.khang @thor.mathison
C064V7S2EGH  -     Group: @thor.mathison @joao.reginatto @andrew.khang
C064VJ708CW  -     Group: @andrei.evdokimov @joao.reginatto @andrew.khang
C065BHEKHST  arch  🔒 hiring-issuer-ops (archived)
C065D1D25K7  arch  #project_group_data_validator (archived)
C066KSY2QF5  -     #crypto-news
C067RC6V50D  arch  🔒 downstream_bridge_xyz (archived)
C068GB7DTFT  arch  🔒 board_dec23 (archived)
C068Q4ELVKM  arch  #it_gitlab_merge_requests_hunters (archived)
C068W4V6G2V  -     🔒 documentation
C068XN4AXPV  -     Group: @claudine.oldengott @joao.reginatto @andrew.khang
C069AEKTZRP  -     Group: @claudine.oldengott @joao.reginatto @andrew.khang @oliver @marco.hinz
C069H2SJR7T  arch  #protocol-testing-solidity-team (archived)
C069LD5F43A  arch  #protocol-testing (archived)
C069YS9D031  arch  #taylor (archived)
C069ZJA8LMQ  -     Group: @claudine.oldengott @andrew.khang @marta.amargant @luca
C069ZNA14NM  -     #spog-manual-testing
C06A12KDHU0  arch  #spog-gov-app-bugs (archived)
C06AC1W8HED  -     Group: @joao.reginatto @luca @andrew.khang @andrei.evdokimov
C06ATK024QH  -     Group: @luca @david.shuttleworth @joao.reginatto @andrew.khang
C06AZUQHR9U  arch  🔒 finance-payments (archived)
C06B9MGDWGZ  arch  🔒 social-media-posts-review (archived)
C06BC8BLJF7  arch  🔒 non-investor-update (archived)
C06BV9L56ET  -     Group: @claudine.oldengott @andrew.khang @antje.bechler
C06CNLKCYRK  arch  🔒 temp_stateoftheunion (archived)
C06CQ1K4EAX  -     Group: @joao.reginatto @luca @greg @andrew.khang
C06CTEAQ16V  -     Group: @oliver @andrew.khang @greg
C06CWR23Q86  arch  🔒 ___bank___ (archived)
C06D9JQ1QE7  arch  🔒 eth-denver-2024 (archived)
C06DMMW3FC2  arch  🔒 temp_baincap (archived)
C06DZMC06JG  arch  #project_integration (archived)
C06E456P3L2  arch  #monitoring-vpc-lambda-dev (archived)
C06E4BG0W3V  -     🔒 ecosystem-ops
C06E5PCMPRA  -     🔒 marketing-and-comms
C06E5U1T4CC  arch  #monitoring-mpc-lambda-dev (archived)
C06EARKDFJ8  arch  🔒 tech-docu-bain-capital (archived)
C06EHPYPJ67  arch  #project_group_retrieval (archived)
C06EL74UKGR  -     Group: @andrew.khang @marco.hinz @joao.reginatto
C06EL755P0R  -     Group: @andrew.khang @marco.hinz @joao.reginatto @jacqueline.to
C06EWMXB1CZ  arch  🔒 gtm-execution (archived)
C06FBJ43WMQ  arch  🔒 first-validator-setup (archived)
C06FJ284QC9  arch  #monitoring-vpc-lambda-local (archived)
C06FTSF2CRJ  arch  🔒 issuer-hotline-for-things-on-fire (archived)
C06FU5VE3HN  arch  #monitoring-mpc-lambda-local (archived)
C06G9NBN3RD  -     Group: @greg @stefan.kleff @antonina.norair @marco.hinz @andrew.khang
C06GE2C4J77  -     Group: @antonina.norair @stefan.kleff @andrew.khang @greg
C06GFEH6A73  -     #intellectual-property
C06GGP7849H  -     Group: @antje.bechler @thor.mathison @andrew.khang
C06GUB5TX0R  arch  🔒 nyc_meeting (archived)
C06GVG4LJV7  -     Group: @antje.bechler @thor.mathison @andrew.khang @jacqueline.to
C06HDNU217S  arch  🔒 launch-dry-run (archived)
C06HFSW17EE  -     🔒 ecosystem-dev
C06HN6G86LS  arch  🔒 hr_management (archived)
C06J5DN2D5Z  arch  #team-protocol (archived)
C06J7AU8H38  arch  🔒 archived-000 (archived)
C06J7MP486S  arch  #hubspot-alerts (archived)
C06JCMNB735  arch  #protocol-frontend (archived)
C06JEF1PR1D  arch  #comp-usual-finance (archived)
C06JFT9C3LJ  arch  🔒 ntk__series_a (archived)
C06JHDK31N1  arch  #web3-issues-report (archived)
C06JLNGKGCE  -     Group: @joao.reginatto @luca @oliver @greg @andrew.khang
C06JT95HWV9  -     Group: @joao.reginatto @luca @oliver @greg @andrew.khang @jacqueline.to
C06JUA7K52N  arch  🔒 ecosystem-dev-top-of-funnel (archived)
C06K70D3J7K  arch  🔒 ecosystem-dev-updates (archived)
C06KDKTJR61  arch  #project_blockchain_bi (archived)
C06KH91C945  arch  #comp-orange-dao (archived)
C06KPU5GTDY  arch  #web3-frontend-notifications (archived)
C06LKLJULTT  -     Group: @thor.mathison @marta.amargant @andrew.khang
C06LTGWQ571  -     Group: @claudine.oldengott @oliver @luca @greg @joao.reginatto @andrew.khang @antonina.norair @jacqueline.to @thor.mathison
C06LUC4SHUN  arch  🔒 onsite-week (archived)
C06M1ELC006  -     Group: @claudine.oldengott @oliver @luca @greg @joao.reginatto @andrew.khang
C06MWT5L17A  -     Group: @claudine.oldengott @oliver @luca @greg @joao.reginatto @andrew.khang @antonina.norair @jacqueline.to
C06N33YGW1H  -     Group: @joao.reginatto @greg @jacqueline.to @luca @andrew.khang
C06N8UW66G7  arch  🔒 temp-back-office-docs (archived)
C06NS9RFLA3  -     Group: @thor.mathison @andrew.khang @jacqueline.to
C06P2PFHQ4D  -     Group: @claudine.oldengott @joao.reginatto @thor.mathison @luca @greg @antonina.norair @andrew.khang
C06PB4BGL21  arch  🔒 temp-teknos-valuation-report (archived)
C06Q0759U15  -     #product-cl-mxon-eng
C06QFNBD3EJ  -     Group: @claudine.oldengott @daniel.binsfeld @osmar.matos @rafael.weninger @stefan.kleff @vladimir.vecgailis @andrew.khang
C06QN8GLWSX  -     Group: @claudine.oldengott @daniel.binsfeld @osmar.matos @rafael.weninger @stefan.kleff @vladimir.vecgailis @andrew.khang @oliver
C06QQRJPBPW  -     Group: @claudine.oldengott @daniel.binsfeld @osmar.matos @rafael.weninger @stefan.kleff @vladimir.vecgailis @andrew.khang @marta.amargant
C06R3E68E80  arch  🔒 bank-operations (archived)
C06R8LYP1NW  arch  🔒 product_committee (archived)
C06RJ1F3VCN  arch  #dry-run (archived)
C06RL8G74D8  arch  🔒 growth (archived)
C06RUFF1VQC  arch  #project_fireblocks-integration (archived)
C06SNHL5U3F  arch  #project-updates (archived)
C06SZCZQTDF  arch  🔒 tmp-economic-substance (archived)
C06TFG6LJCU  -     Group: @andrew.khang @jacob.laufer @antonina.norair @joao.reginatto
C06TGF04RTN  -     Group: @stefan.kleff @andrew.khang @claudine.oldengott
C06UYMBBDK4  arch  🔒 wen-first-mint (archived)
C06V7B1RRMM  arch  #blockchainweek24 (archived)
C0704P0BQTU  -     #spvops-minter
C0707FE0KL2  arch  #project_validation_wallet_connection (archived)
C070AHVHC3D  -     🔒 legal
C070BHGCCPJ  -     Group: @antonina.norair @andrew.khang @thor.mathison @jacob.laufer
C070FDZ9NLF  -     🔒 americans
C070NKDSMLK  -     Group: @frederic.hannesen @luca @greg @oliver @andrew.khang
C070QN19WCV  arch  🔒 temp_lucatokyodrift (archived)
C070WCZCLC8  -     Group: @frederic.hannesen @luca @greg @oliver @jacqueline.to @marco.hinz @vitalii.ivantsov @andrew.khang
C0719989BB2  arch  #tmp-ebics (archived)
C071FLUQVP0  -     Group: @claudine.oldengott @vitalii.ivantsov @andrew.khang @marta.amargant
C071LJW3GSZ  -     Group: @andrew.khang @oliver @frederic.hannesen
C071M1X6DDY  -     #notifications-protocol-events
C071QJ78CRY  -     #notifications-ttg-events
C071R7LBGAF  -     Group: @vitalii.ivantsov @oliver @luca @andrew.khang
C071S0QKR7S  -     Group: @marta.amargant @vitalii.ivantsov @andrew.khang
C071Z32KL6B  arch  🔒 temp-singapore-sept-16 (archived)
C071Z6GUVNY  arch  #project_guidance (archived)
C071Z6W10TY  -     #project-validator-chronicle
C071ZCKLXNG  -     Group: @greg @andrew.khang @rafael.weninger
C0724ELGCGZ  -     Group: @oliver @vitalii.ivantsov @andrew.khang @frederic.hannesen
C072B48CKEC  -     Group: @luca @frederic.hannesen @andrew.khang
C072B55V048  -     Group: @andrew.khang @antje.bechler @vladimir.vecgailis @vitalii.ivantsov @marco.hinz @stefan.kleff @jacqueline.to @carloalberto.verona
C072DBPM2G3  arch  🔒 temp-nyc-june-10 (archived)
C072EHUKMCP  arch  🔒 childbirth-stefan (archived)
C072LPQA2DB  arch  #validation-test2 (archived)
C072UMZ5SPJ  -     Group: @vitalii.ivantsov @andrew.khang @carloalberto.verona
C0734480H6E  -     Group: @andrew.khang @luca @vladimir.vecgailis @oliver @vitalii.ivantsov @greg @stefan.kleff @antonello.simeon
C073DSQU687  arch  #monitoring-mpc-fireblocks-local (archived)
C073LNVR286  arch  #project_am_redesign (archived)
C073M2RDFAS  arch  #monitoring-mpc-fireblocks-staging (archived)
C073UU5JB4K  arch  🔒 temp-brussels-july-6 (archived)
C073VGC7D1N  arch  #monitoring-mpc-fireblocks-dev (archived)
C0746BL581F  arch  #monitoring-mpc-fireblocks-production (archived)
C074DFGDNQ1  arch  #project_kafka_to_s3_chronicle (archived)
C074DFX6NKC  -     🔒 minter-finance
C074PB17VT4  -     Group: @joao.reginatto @andrew.khang @jacob.laufer
C075DT98R8W  -     Group: @jacqueline.to @marco.hinz @oliver @joao.reginatto @hubert.newell @andrew.khang
C0767D2N1KR  arch  🔒 solidity-candidates (archived)
C0767JDD295  arch  #project_auto_collateral_updates (archived)
C076F921DST  -     Group: @claudine.oldengott @andrew.khang @luca @carloalberto.verona
C076GSNQ90W  arch  🔒 galaxy-podcast (archived)
C076WPJBW7Q  arch  🔒 temp-hc-and-budget (archived)
C0774809VFD  -     Group: @joao.reginatto @nicole.schaefer @andrew.khang
C077DACC4TH  -     #project-multichain
C077FABL9M2  arch  #ecosystem-dashboard (archived)
C077R2BQTD3  -     #project-extensions
C077T0JMK34  -     Group: @andrew.khang @stefan.kleff @antje.bechler @nicole.schaefer
C077T1NV198  -     Group: @andrew.khang @stefan.kleff @antje.bechler @nicole.schaefer @vladimir.vecgailis
C0781GYUFRV  -     Group: @carloalberto.verona @luca @vitalii.ivantsov @andrew.khang
C0783P2R0MB  -     #project_validator-chainlink
C078FPUJH8Q  -     Group: @andrew.khang @stefan.kleff @antje.bechler
C078QNX5F0T  -     Group: @andrew.khang @frederic.hannesen @jacob.laufer
C078UG0QLRZ  arch  #project_cancelmint_and_freezeminter (archived)
C078WBT2TPW  -     Group: @claudine.oldengott @joao.reginatto @antonina.norair @andrew.khang @stefan.kleff
C0799BC14JC  arch  #project_blockchain_testing (archived)
C079DDSFHMW  -     Group: @andrew.khang @vladimir.vecgailis @stefan.kleff @antonello.simeon
C079GM77740  -     Group: @claudine.oldengott @joao.reginatto @antonina.norair @andrew.khang @stefan.kleff @carloalberto.verona
C079TMDPG20  -     Group: @claudine.oldengott @antonina.norair @andrew.khang @stefan.kleff
C079TMEKTTN  -     Group: @claudine.oldengott @antonina.norair @andrew.khang @stefan.kleff @joao.reginatto @marco.hinz
C07A1GXU31U  -     #validator-finoa
C07A873N6Q2  -     #monitoring-protocol-clients
C07AAPWCHC1  arch  🔒 ecosystem-finance (archived)
C07ANJ9T3BQ  arch  #ar-signing-coordination (archived)
C07C1BKDN03  -     Group: @claudine.oldengott @nicole.schaefer @andrew.khang
C07C634EQ79  arch  🔒 temp_nyc_august (archived)
C07CA3PMUG0  arch  #project_minter_wallet_connect (archived)
C07CAPBTQCE  arch  #web3-voting-guild (archived)
C07CF0F6AA3  arch  #tmp-settlement-agreement (archived)
C07CMMJ9CPJ  -     Group: @claudine.oldengott @carloalberto.verona @andrew.khang
C07CRG3M4A3  arch  🔒 temp_confidential_relocation (archived)
C07D715M0BU  -     #governance-discussions
C07DHQ6GKFC  -     #notifications-boardroom
C07DN1S7U2F  arch  #governance-forum (archived)
C07DSMTHE4V  arch  🔒 rfp-maker (archived)
C07E54ZJMU2  -     🔒 sphere-x-m0
C07E67BTXK4  -     🔒 team-mxon
C07EUQNAU9H  arch  #spvos_notifications (archived)
C07F00ZG6S2  arch  🔒 new-minter-program (archived)
C07F3PDMWQK  -     #notifications-proposals-events
C07F42GGP5M  arch  #project_erpc-proxy (archived)
C07FJE6TXC1  arch  🔒 rfp-ethena (archived)
C07FVP7495K  -     Group: @carloalberto.verona @luca @andrew.khang
C07GLEPLG1E  arch  #project-labs-website (archived)
C07HBS16C2C  -     #monitoring-security-reader
C07HMBR45EH  arch  🔒 hiring_general_counsel (archived)
C07HMPL2RDK  arch  🔒 hiring_crypto_integration_mgr (archived)
C07JADDQ65Q  -     Group: @andrew.khang @luca @greg @oliver
C07JN3QDLP7  arch  #web3-solana-rust (archived)
C07JNQDKWHY  arch  #project_message-streaming (archived)
C07L033N20P  -     Group: @luca @andrew.khang @oliver @jacob.laufer
C07L295ELNR  -     Group: @joao.reginatto @jacob.laufer @andrew.khang @luca
C07LAU4T9JT  -     Group: @oliver @andrew.khang @joao.reginatto
C07LC9K9JQP  -     Group: @claudine.oldengott @andrew.khang @jacob.laufer
C07LDJKUK89  -     Group: @frederic.hannesen @luca @oliver @andrew.khang
C07LH49FH9D  -     Group: @marta.amargant @antonina.norair @andrew.khang @claudine.oldengott
C07LH4FTWFR  -     Group: @marta.amargant @antonina.norair @andrew.khang @claudine.oldengott @jacob.laufer @joao.reginatto @nicole.schaefer
C07LH4S493R  -     Group: @marta.amargant @claudine.oldengott @andrew.khang @antonina.norair @jacob.laufer @nicole.schaefer
C07LR25AG5C  -     Group: @marta.amargant @antonina.norair @andrew.khang @claudine.oldengott @jacob.laufer @joao.reginatto @nicole.schaefer @pierrick.turelier
C07LR2ESQTG  -     Group: @marta.amargant @claudine.oldengott @andrew.khang @antonina.norair @jacob.laufer @nicole.schaefer @pierrick.turelier
C07LUFMMCDA  -     Group: @andrew.khang @carloalberto.verona @oliver
C07LXLMBYE6  -     Group: @marta.amargant @antonina.norair @andrew.khang @claudine.oldengott @jacob.laufer
C07M05F944C  -     Group: @marta.amargant @antonina.norair @andrew.khang
C07MAB0C8JV  -     Group: @marta.amargant @antonina.norair @andrew.khang @claudine.oldengott @jacob.laufer @joao.reginatto
C07MUQ5JQ13  -     #backend_notifications
C07NB2XKB5Y  -     #mnav
C07NFLA7814  -     #project-fireblocks-api-signer
C07NVP23VB6  arch  #tmp-spv-minter-reporting (archived)
C07PEHU7HGA  -     Group: @andrew.khang @frederic.hannesen @carloalberto.verona
C07PVCQC078  arch  #project_ecosystem_dashboard_ms2 (archived)
C07Q3DQ3U8H  arch  🔒 temp-rwa_nyc (archived)
C07QNECDN21  arch  🔒 comms-strategy-review (archived)
C07QPJ8FZGC  -     Group: @joao.reginatto @jacqueline.to @andrew.khang
C07RBNCN8EP  arch  #nyc-web3-offsite (archived)
C07RF51F7TJ  -     🔒 website-leads
C07RH5GR8LX  -     🔒 project-world
C07RS9XFJF3  arch  🔒 project-medad (archived)
C07RUK12526  arch  #voting-info (archived)
C07RUQ8RACD  arch  🔒 project-brale (archived)
C07RX2HTAEP  arch  #project_external_notifications (archived)
C07S50DTJ4B  -     #project-earner-yield-tracking
C07S8MNKV0V  -     Group: @andrew.khang @joao.reginatto @nicole.schaefer @vladimir.vecgailis @alessandro.rosmo
C07SKN77JBU  arch  🔒 project-celestia (archived)
C07SL3VB5A6  arch  🔒 project-purpose (archived)
C07SPNPTHL1  -     Group: @joao.reginatto @andrew.khang @carloalberto.verona
C07ST3TGXC0  -     Group: @oliver @claudine.oldengott @andrew.khang
C07T0BGJ88Y  -     Group: @andrew.khang @joao.reginatto @nicole.schaefer @vladimir.vecgailis
C07TGE26LR3  arch  🔒 project-hifi (archived)
C07TRLL5SQ1  arch  #project_collateral_expansion (archived)
C07U65JV4CB  -     Group: @andrew.khang @joao.reginatto @andrei.evdokimov @nicole.schaefer
C07UA00TMEY  -     🔒 project-sphere
C07V79HLLQ4  arch  🔒 temp-job-listings-portal (archived)
C07V8BKRMBN  -     Group: @andrew.khang @oliver @marco.hinz
C07V9NK0NRX  arch  #tmp-superstate-onboarding-spv (archived)
C0809ERMDRT  arch  🔒 adopted-guidance (archived)
C0809JBU8UX  arch  #project_minter_assets_overview (archived)
C080Q5E7A2F  -     🔒 project-usual
C080R0RJ7FT  arch  🔒 project-superstate (archived)
C080R9K1Y0Z  -     Group: @carloalberto.verona @jacob.laufer @andrew.khang
C0816ML8DLY  -     Group: @alessandro.rosmo @andrew.khang @luca
C081E9519T7  -     Group: @marta.amargant @oliver @carloalberto.verona @andrew.khang @luca
C081EBMLL6R  arch  🔒 project-digift (archived)
C081F046QS3  arch  🔒 hiring_finance (archived)
C081H5MFV4K  -     Group: @marta.amargant @luca @andrew.khang @claudine.oldengott @oliver
C081NM7V6CE  -     Group: @claudine.oldengott @carloalberto.verona @andrew.khang @nicole.schaefer
C082041TMRN  arch  #project_improved_user_feeback (archived)
C0821LLTU8K  -     Group: @claudine.oldengott @andrew.khang @jacqueline.to @hubert.newell
C0822N1082F  -     Group: @alessandro.rosmo @carloalberto.verona @luca @joao.reginatto @andrew.khang @oliver
C08256HFJ8H  arch  🔒 strategy (archived)
C08259Z2804  -     Group: @alessandro.rosmo @andrew.khang @luca @carloalberto.verona @oliver
C08260MBE1E  -     Group: @marta.amargant @oliver @carloalberto.verona @andrew.khang @luca @claudine.oldengott
C083B3Y2WT0  arch  #project-uniswap-v4 (archived)
C083FQEG4LQ  -     #notifications-m-portal-events-sepolia
C083PA1A66S  arch  #project-usual-eng (archived)
C083T3QLLJH  arch  #project-world-eng (archived)
C083TNTUX19  -     #notifications-uniswap-liquidity
C083U912FND  -     #project-solana-m
C0844Q9PL49  -     Group: @andrew.khang @greg @carloalberto.verona
C0849Q9MZEC  arch  🔒 project-ramp (archived)
